Latitude: 32.2299  Longitude: -110.9403
X & Y on Lambert Conformal Conic: -998128.12 -1028390.35
Tile: 11015
Elevation: 748 meters
All years; all variables; Daymet Software Version 3.0; Daymet Data Version 3.0.
How to cite: Thornton; P.E.; M.M. Thornton; B.W. Mayer; Y. Wei; R. Devarakonda; R.S. Vose; and R.B. Cook. 2016. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 3. ORNL DAAC; Oak Ridge; Tennessee; USA. http://dx.doi.org/10.3334/ORNLDAAC/1328

year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
1986,285,40781,5.00,227.20,0.00,22.50,10.50,1280.00
1986,286,40435,0.00,384.00,0.00,24.00,7.50,1000.00
1986,287,40435,0.00,409.60,0.00,28.00,9.00,1000.00
1986,288,40435,0.00,374.40,0.00,29.50,12.50,1280.00
1986,289,40090,0.00,320.00,0.00,30.50,16.50,1760.00
1986,290,40090,0.00,380.80,0.00,32.00,14.00,1400.00
1986,291,40090,0.00,396.80,0.00,31.00,12.00,1200.00
1986,292,39744,0.00,416.00,0.00,29.00,8.50,960.00
1986,293,39744,0.00,400.00,0.00,27.00,8.00,880.00
1986,294,39744,0.00,409.60,0.00,26.50,6.50,760.00
1986,295,39398,0.00,393.60,0.00,27.00,8.00,840.00
1986,296,39398,0.00,390.40,0.00,28.00,9.00,920.00
1986,297,39398,0.00,384.00,0.00,28.00,9.00,920.00
1986,298,39053,0.00,390.40,0.00,28.00,8.00,840.00
1986,299,39053,0.00,403.20,0.00,30.00,8.00,840.00
1986,300,39053,0.00,390.40,0.00,30.00,9.00,880.00
1986,301,38707,0.00,390.40,0.00,30.50,9.00,880.00
1986,302,38707,0.00,358.40,0.00,31.00,12.00,1160.00
1986,303,38707,0.00,380.80,0.00,32.00,10.50,1000.00
1986,304,38362,0.00,348.80,0.00,30.00,11.50,1120.00
1986,305,38362,0.00,300.80,0.00,27.50,12.50,1320.00
1986,306,38362,6.00,169.60,0.00,22.00,11.50,1360.00
1986,307,38362,4.00,137.60,0.00,17.50,9.50,1200.00
1986,308,38016,0.00,182.40,0.00,18.50,10.50,1280.00
